study_hours,attendance,previous_marks,assignment_score,sleep_hours,result
6.7,72.5,72.1,100.0,6.0,1
4.3,91.6,73.7,74.4,6.0,1
1.8,70.3,63.4,67.9,7.0,0
2.1,77.3,65.4,72.1,7.3,0
9.7,65.1,82.5,75.6,5.7,0
9.2,83.5,67.5,78.1,6.7,1
7.3,95.3,76.0,100.0,6.7,1
3.4,77.1,65.1,60.2,4.0,0
9.7,75.6,62.9,84.0,6.5,1
8.0,64.6,46.9,74.9,6.6,1
7.5,75.2,38.3,50.0,6.6,1
5.0,58.9,64.1,82.8,8.6,0
3.5,67.0,68.8,89.7,5.2,1
1.9,80.7,48.7,60.0,5.7,0
9.1,93.8,67.5,71.9,4.0,1
5.1,100.0,68.8,47.8,6.2,0
2.8,71.0,35.7,54.4,6.3,0
3.8,95.2,54.3,86.7,6.1,0
6.2,80.9,74.1,65.5,8.2,0
2.6,76.2,73.8,56.5,7.9,0
8.7,83.2,50.7,75.2,6.9,1
7.8,78.7,70.4,64.7,6.3,1
7.5,79.3,83.3,65.4,8.1,1
4.9,73.1,79.7,82.4,6.8,1
6.6,61.2,66.6,55.7,5.7,0
6.3,59.5,61.0,59.3,4.6,0
6.8,85.8,58.6,74.2,6.2,0
1.8,74.7,75.0,85.6,7.8,1
4.7,70.8,70.9,89.3,9.8,1
1.4,78.1,77.4,62.7,6.9,0
5.4,87.5,70.0,85.1,5.8,0
4.0,80.2,80.3,61.0,5.3,0
2.3,70.1,69.4,97.6,7.5,1
1.9,92.7,79.8,56.1,4.5,0
6.3,97.0,81.1,90.6,7.5,1
2.5,83.9,55.9,62.8,7.9,1
9.3,89.7,40.9,100.0,7.4,1
6.2,92.9,91.2,80.3,6.5,1
4.1,91.6,71.8,57.8,7.5,0
6.3,85.4,42.3,64.7,7.0,1
1.2,85.2,57.3,82.9,5.8,0
9.6,84.2,79.6,86.7,9.2,1
5.3,64.8,63.8,71.0,6.3,0
8.0,86.4,60.3,72.6,7.8,1
1.7,61.7,89.0,82.6,4.0,0
5.4,68.5,52.3,73.8,8.5,0
5.4,93.6,56.0,53.9,8.7,0
9.4,88.1,71.2,60.6,6.8,1
6.1,95.8,73.9,75.3,7.5,1
5.3,74.7,75.4,89.0,7.5,1
3.4,64.2,81.7,94.6,6.0,0
4.0,75.1,71.0,82.9,7.5,1
5.7,79.2,75.3,76.0,5.7,1
5.0,78.9,64.1,82.5,6.0,1
1.2,91.6,68.9,62.7,8.3,0
8.4,73.7,69.6,69.9,8.1,1
9.1,82.2,71.2,60.5,5.9,1
2.3,66.1,79.6,54.5,5.8,0
6.0,83.4,76.3,76.7,6.0,1
2.0,78.0,68.7,74.6,7.8,0
7.1,69.0,55.9,81.6,5.5,0
3.5,75.2,69.0,79.6,7.3,0
6.9,75.8,67.6,75.4,7.8,1
7.5,74.8,70.9,79.8,6.7,1
7.9,99.3,100.0,71.4,8.1,1
2.0,76.8,60.1,77.8,6.4,0
9.2,75.1,74.3,61.8,6.5,1
3.1,52.8,84.0,77.2,5.5,0
1.3,67.3,69.5,81.4,8.1,0
6.0,74.8,100.0,62.6,5.8,1
4.3,69.8,62.3,72.7,7.3,0
8.5,94.6,72.9,63.3,6.7,1
8.3,76.0,56.0,64.6,5.4,0
3.9,93.5,62.7,56.3,6.0,0
9.6,78.7,71.7,89.7,8.6,1
3.6,78.4,80.7,86.9,7.1,1
5.6,76.9,72.8,79.5,5.5,0
3.3,78.0,86.9,99.6,7.2,1
9.4,98.6,66.6,69.4,6.6,1
2.5,50.2,63.0,100.0,10.0,0
1.4,54.0,100.0,68.8,7.2,0
4.9,71.5,73.9,75.6,6.3,1
9.9,78.2,57.2,66.4,8.6,0
9.0,86.3,57.6,77.2,4.4,1
7.7,83.7,53.9,83.7,6.9,1
9.0,73.4,82.0,70.4,9.4,1
9.0,90.2,62.5,96.9,6.6,1
5.7,90.4,69.9,75.3,4.5,0
3.8,80.2,67.0,75.8,6.3,1
7.9,89.6,79.0,59.3,8.7,1
7.0,81.3,55.3,77.9,7.3,1
4.4,71.3,51.9,70.1,5.7,1
1.9,86.4,71.4,63.5,5.9,0
7.7,79.3,77.0,61.1,6.1,1
3.4,78.0,73.0,100.0,7.3,0
9.4,95.7,55.9,68.3,8.5,1
3.2,48.6,78.2,51.6,8.2,0
2.1,61.0,56.8,62.2,7.4,0
8.5,63.8,60.2,71.3,5.1,1
2.4,73.6,53.8,79.7,5.1,0
2.6,74.9,87.5,79.8,7.5,1
6.4,59.9,77.5,81.5,5.1,1
8.9,66.2,77.1,63.0,6.5,1
2.8,67.7,86.7,76.8,7.2,0
3.8,100.0,100.0,59.7,5.3,0
8.0,99.6,42.4,63.3,5.5,0
9.7,73.1,56.9,59.2,6.7,1
5.5,73.6,58.8,55.4,7.5,1
2.3,64.2,55.2,86.9,8.2,0
1.1,55.1,51.8,81.6,7.6,0
3.1,76.6,63.5,85.7,6.9,0
2.2,66.0,49.8,72.6,5.8,0
7.1,77.0,73.0,82.9,5.4,1
2.1,58.8,68.8,47.3,6.1,0
5.6,68.9,75.2,84.1,7.3,1
7.2,79.8,75.6,74.5,7.2,1
6.2,82.4,77.0,80.8,4.1,0
2.8,83.0,62.4,77.3,5.8,0
8.2,62.2,99.8,58.2,8.4,1
7.4,88.3,71.5,51.0,6.9,1
7.7,68.4,40.1,62.0,5.0,0
2.2,85.6,53.0,79.9,9.9,1
2.1,77.9,41.9,81.7,6.8,0
9.3,61.5,68.3,52.8,7.3,1
4.6,74.2,66.2,58.3,7.3,0
3.7,82.4,61.0,61.9,6.3,0
5.4,85.4,98.2,67.0,5.9,1
7.0,76.3,76.2,52.9,9.6,0
9.6,96.4,78.9,52.1,8.1,1
3.6,90.1,54.0,60.5,7.9,0
9.3,74.9,53.0,73.2,7.5,1
1.2,87.0,68.6,55.5,5.5,0
6.0,100.0,70.6,70.4,8.5,1
6.7,100.0,40.2,86.8,5.7,1
2.0,63.3,65.3,53.8,7.2,0
2.3,66.9,68.2,69.1,4.7,0
4.8,95.8,64.8,86.3,4.1,0
9.7,65.3,55.8,66.1,7.2,1
6.4,62.1,59.9,64.0,5.7,0
9.4,72.2,65.3,88.3,4.2,1
8.2,83.0,69.4,67.7,7.5,1
5.2,76.8,77.1,87.5,9.6,0
8.1,70.2,84.2,78.0,8.6,1
1.2,69.9,63.6,67.2,6.5,0
2.0,69.5,61.2,78.7,6.8,0
8.5,67.4,74.6,76.5,8.0,1
8.2,100.0,77.2,86.3,8.3,1
3.1,81.6,61.5,64.3,6.4,0
5.8,88.6,79.9,72.6,6.8,1
6.5,72.1,82.7,71.1,7.2,1
8.8,75.8,87.4,81.9,7.5,1
6.4,69.4,94.7,57.6,6.6,1
4.7,46.2,55.0,86.2,6.6,0
4.4,61.5,68.2,78.5,8.6,0
4.8,56.3,68.2,53.6,8.4,0
6.9,51.0,66.5,88.9,7.4,1
8.8,63.7,58.3,100.0,9.0,1
5.1,93.9,45.7,86.0,6.3,1
3.2,77.5,69.4,92.0,8.9,1
3.1,93.5,56.5,73.2,7.5,0
7.7,82.9,69.3,48.7,10.0,1
8.3,87.4,56.1,46.2,5.2,1
1.9,67.2,51.5,75.6,5.9,0
1.6,84.3,71.5,63.7,7.3,0
6.3,86.7,70.3,59.2,7.3,1
2.3,71.1,76.7,71.1,9.3,0
8.4,84.7,100.0,80.6,5.9,1
3.8,84.8,72.2,51.7,8.0,0
2.3,71.4,75.3,65.7,8.3,0
9.3,64.5,51.8,93.1,7.7,0
2.5,63.8,48.7,56.9,5.6,0
3.6,79.0,91.7,84.2,8.6,1
2.4,81.9,54.1,65.2,8.4,0
2.0,68.5,52.3,79.6,7.6,0
1.2,78.3,67.4,87.4,7.1,0
1.5,84.8,66.6,82.4,7.1,0
2.6,85.4,54.5,84.7,6.7,0
1.5,96.6,63.4,55.9,7.6,0
6.3,93.3,86.4,87.6,6.8,1
7.1,66.0,55.9,60.1,5.7,0
4.5,98.2,47.1,75.6,5.4,1
3.9,71.6,82.1,75.6,5.8,1
5.5,90.5,75.4,78.8,7.1,1
8.9,78.8,58.7,76.7,6.8,1
8.7,73.1,44.3,60.2,7.1,1
1.4,56.3,56.8,53.1,7.5,0
2.6,75.9,67.2,84.2,6.0,0
3.1,59.3,85.5,74.6,8.7,0
3.2,89.6,52.5,88.1,6.5,0
6.1,96.2,66.7,71.4,6.2,1
4.7,68.4,78.1,52.3,7.4,1
1.4,81.6,32.3,85.5,4.4,0
4.4,69.3,83.5,66.8,5.8,1
5.7,70.5,50.3,76.8,8.1,0
1.9,87.3,73.0,62.9,4.5,0
8.5,77.5,71.7,95.0,8.3,1
1.5,98.9,84.3,59.7,8.8,0
9.3,72.2,76.3,67.3,6.3,1
1.9,90.0,32.3,73.5,7.2,0
8.6,79.2,56.2,56.7,8.3,1
9.1,87.5,70.1,76.6,6.2,1
9.8,72.6,65.1,94.6,7.9,1
8.2,77.4,75.2,65.1,5.9,1
8.0,76.6,79.8,77.5,6.2,1
6.8,68.0,77.1,33.5,5.8,0
8.0,85.9,64.8,71.5,7.2,0
2.2,85.8,40.3,67.6,8.3,0
5.8,85.1,61.2,60.5,6.6,0
5.6,96.4,74.2,87.1,5.1,1
8.7,95.4,51.6,67.4,5.4,1
5.2,73.5,77.5,69.5,7.3,0
4.5,82.5,81.6,66.7,9.2,1
6.8,70.5,69.9,45.2,7.3,0
3.4,78.3,30.0,56.2,6.3,0
2.3,70.8,48.8,85.5,7.8,0
5.3,97.4,96.3,42.5,6.5,1
4.8,82.4,59.8,61.3,6.3,0
3.1,75.4,38.2,66.4,5.6,0
4.3,92.3,86.5,96.4,8.6,1
4.3,52.0,68.2,82.8,4.0,0
3.9,53.8,84.6,64.2,7.8,0
4.4,87.6,72.2,90.3,6.2,1
7.2,78.7,74.9,61.6,6.3,1
3.7,81.0,73.4,86.1,9.0,1
9.5,62.1,78.5,53.0,5.9,1
9.2,77.7,100.0,87.0,5.9,1
5.3,100.0,82.6,66.3,6.6,1
4.0,87.9,44.3,57.6,7.3,1
5.8,80.0,74.7,69.0,6.2,1
8.6,72.7,85.1,75.9,4.8,1
6.9,73.3,86.0,65.1,5.7,1
8.2,52.4,61.6,79.8,8.5,1
5.8,81.1,85.5,63.8,6.9,1
6.7,88.1,81.9,80.7,7.4,1
3.6,59.1,100.0,78.2,6.5,0
7.6,70.1,56.7,71.1,5.9,1
2.8,64.1,60.4,65.8,9.0,0
7.3,66.4,63.4,74.1,6.6,1
8.7,78.6,60.6,79.7,6.2,1
2.2,53.0,54.6,100.0,8.2,0
6.5,85.4,30.0,85.2,5.9,1
1.9,87.0,61.5,85.7,6.0,1
7.5,75.0,73.5,100.0,6.8,1
1.8,48.2,60.6,79.2,6.8,0
9.4,66.0,97.0,78.8,7.1,1
2.2,92.8,68.2,81.9,9.5,0
9.6,44.7,87.4,57.9,7.2,1
8.2,73.8,71.9,65.8,4.0,1
6.3,63.8,80.4,64.9,7.2,0
8.0,87.7,72.2,81.1,6.8,1
8.2,69.9,88.5,69.6,6.9,1
9.5,82.8,68.8,73.9,7.1,1
3.3,84.8,75.4,87.2,6.8,1
6.3,100.0,73.5,84.1,6.7,1
1.9,75.6,63.7,69.7,7.6,0
6.5,82.5,74.1,62.6,6.1,1
2.5,60.2,100.0,87.9,5.6,0
6.1,92.3,63.9,82.8,10.0,1
6.2,68.9,74.3,49.5,5.9,1
5.2,71.3,86.9,67.6,6.9,0
5.7,77.7,85.1,74.3,4.9,1
7.9,59.2,68.2,82.9,7.0,1
8.2,80.7,32.2,84.7,5.6,1
5.4,89.6,75.8,76.0,6.2,1
6.4,81.5,34.7,80.2,8.2,1
9.4,58.9,90.0,72.9,7.4,1
2.1,76.5,70.5,62.6,7.5,0
2.1,86.9,83.0,68.3,4.5,0
1.8,55.5,54.5,72.3,9.2,0
6.9,65.1,44.7,71.5,5.3,0
4.8,88.5,71.9,45.6,8.8,1
8.0,81.2,67.5,66.4,8.1,1
7.0,82.9,60.6,72.8,7.6,1
4.0,100.0,69.3,68.1,5.7,0
9.1,83.6,100.0,68.5,7.0,1
7.9,85.9,80.5,78.8,6.2,1
3.4,100.0,83.7,56.9,6.8,1
4.3,75.4,80.7,49.2,6.5,1
3.8,68.4,90.2,67.1,4.1,0
2.4,83.1,65.1,82.7,8.3,0
2.3,83.3,37.2,95.6,6.7,0
9.4,71.7,65.2,82.9,6.2,0
4.9,65.6,80.2,51.4,6.1,0
4.4,100.0,53.5,68.7,7.3,0
7.6,81.9,65.4,75.6,5.6,0
6.0,69.2,57.6,74.5,4.0,1
9.4,89.0,90.5,79.6,7.3,1
8.0,76.7,79.2,59.2,7.5,1
5.3,75.0,77.8,72.9,6.5,0
4.4,84.7,77.3,77.9,5.3,1
9.9,62.5,67.4,83.6,6.9,1
7.5,82.2,71.0,60.7,4.9,0
9.6,100.0,50.2,67.2,5.5,1
2.1,83.6,35.2,34.1,5.8,0
8.7,73.5,70.3,63.3,7.9,0
6.7,71.9,72.9,64.7,6.3,1
2.1,73.1,86.1,57.7,6.2,0
6.3,75.0,91.6,74.3,9.3,1
7.2,73.5,91.5,71.2,7.3,1
1.1,89.0,53.0,40.4,7.2,0
5.1,57.2,62.7,75.0,6.3,1
8.4,88.3,75.2,59.0,6.0,1
3.7,73.4,100.0,78.8,4.0,1
5.1,82.5,90.2,54.1,8.1,1
5.0,64.5,84.8,72.4,7.4,0
3.7,93.9,62.2,68.0,6.6,1
9.3,92.9,54.8,76.2,6.6,1
8.0,89.5,79.8,73.7,7.8,1
2.0,59.8,51.5,68.4,4.8,0
10.0,87.9,64.4,50.5,6.0,1
8.9,82.9,66.3,51.3,5.3,1
3.6,58.7,91.9,63.8,9.1,0
8.5,77.7,62.7,71.9,7.9,1
2.0,82.4,31.4,63.5,4.0,0
10.0,84.7,75.6,80.8,4.8,1
7.0,80.1,57.5,68.1,6.6,1
6.9,81.5,68.6,58.5,6.2,1
1.8,95.7,66.7,68.1,5.1,0
9.1,92.7,63.9,75.2,9.3,1
1.3,43.6,79.9,76.5,7.2,0
3.2,74.2,45.0,98.3,7.4,0
2.3,76.0,60.2,62.6,5.9,0
8.0,57.0,78.3,71.0,7.7,1
2.8,79.1,58.8,78.0,6.3,1
9.2,93.0,43.9,71.7,6.4,0
6.9,65.0,78.0,65.0,7.6,1
1.3,82.0,84.8,50.3,4.7,0
1.0,67.0,67.3,64.8,8.9,0
1.5,69.9,38.6,57.0,7.0,0
6.5,95.7,78.6,47.8,8.5,0
8.2,71.5,43.1,60.9,5.4,0
3.1,83.5,72.6,57.3,5.6,0
8.6,55.5,54.7,80.2,5.3,1
1.5,100.0,50.6,80.4,7.1,0
8.2,85.2,61.4,59.3,6.9,1
9.4,75.8,65.3,68.4,6.2,1
7.9,84.9,58.3,46.0,5.5,0
7.3,61.1,76.8,65.1,5.2,1
8.5,92.2,61.3,77.6,6.7,1
1.4,74.1,82.7,83.5,6.2,0
2.8,75.6,72.2,62.0,5.9,0
2.1,72.1,57.5,86.7,8.8,0
5.5,71.0,55.0,50.8,6.7,0
7.7,86.3,43.3,54.5,8.5,1
6.7,81.1,72.4,81.9,6.1,0
8.7,85.8,62.7,95.4,7.1,1
2.4,77.9,32.4,78.9,6.7,0
7.6,84.2,60.0,71.4,4.6,1
2.7,73.0,54.5,41.3,8.7,0
3.4,100.0,91.6,43.7,6.6,1
7.4,59.2,42.5,73.8,7.8,0
9.8,93.1,46.4,67.0,5.8,1
6.5,94.4,84.6,56.5,6.6,1
1.5,67.8,88.4,72.9,5.7,0
6.5,100.0,56.8,73.6,8.4,1
1.4,89.9,58.5,85.2,7.2,0
9.0,89.7,77.2,73.9,7.3,1
7.4,78.3,33.1,89.2,8.6,0
2.6,75.4,40.1,72.1,8.3,0
1.8,75.5,63.8,70.4,7.8,0
2.7,82.7,91.2,86.9,5.0,1
9.8,94.8,61.5,58.3,5.9,1
5.1,80.2,69.5,100.0,5.5,1
8.1,67.1,85.0,77.3,7.7,1
6.7,87.9,99.6,77.3,7.0,1
6.2,89.1,59.3,79.4,5.0,1
2.3,85.9,67.7,98.3,6.6,1
9.5,86.9,95.3,83.1,4.9,1
3.7,74.7,45.2,49.5,6.7,0
6.2,66.9,83.4,91.6,4.6,1
7.3,67.6,52.7,67.2,7.5,0
6.8,58.4,69.5,73.5,7.3,1
9.5,80.8,64.4,54.1,9.3,1
2.3,77.0,53.6,79.4,7.9,0
5.6,72.7,53.3,62.9,6.3,0
4.6,42.5,72.1,73.4,7.9,0
5.3,63.0,82.9,68.0,5.0,1
2.1,91.5,66.1,99.0,5.5,1
2.2,70.0,69.1,99.8,7.2,0
3.5,82.3,76.6,72.7,4.0,0
3.7,61.3,53.4,72.9,6.8,0
4.9,95.3,79.1,66.8,5.5,1
6.5,76.3,80.3,87.5,6.9,1
6.7,81.5,100.0,67.4,5.4,1
4.7,100.0,62.4,66.1,7.4,0
4.7,96.2,61.1,85.7,6.8,1
3.0,74.3,79.5,64.5,8.6,1
6.3,70.9,80.3,71.5,6.8,1
3.9,74.1,60.0,49.9,5.8,0
1.3,84.1,62.0,81.9,6.5,0
4.8,76.7,76.1,99.2,5.1,1
5.3,73.3,55.6,82.1,7.3,0
3.0,95.6,61.8,92.5,7.6,0
6.2,76.6,69.3,60.2,10.0,1
6.1,100.0,82.9,75.3,6.0,0
7.3,79.1,58.9,58.8,6.5,1
6.8,99.4,40.4,68.8,6.1,1
6.9,82.3,39.3,82.8,7.1,1
3.8,89.6,49.1,73.4,7.3,0
8.1,69.3,48.3,52.2,6.7,0
5.9,67.8,65.7,53.6,8.2,0
4.9,83.5,50.2,52.7,6.0,0
6.6,89.9,57.5,78.9,8.1,0
4.2,78.5,56.4,100.0,7.5,1
5.6,62.6,61.4,91.1,6.8,1
7.6,61.7,87.8,45.5,6.4,1
9.0,60.9,77.9,91.9,10.0,1
9.3,56.8,68.2,85.1,5.7,1
5.5,79.3,61.1,50.4,7.2,0
5.7,91.5,61.5,67.8,5.8,0
8.2,77.8,72.9,87.3,9.1,1
3.8,50.9,76.8,79.7,8.0,0
8.5,75.7,54.4,53.7,5.9,1
5.4,76.0,68.5,80.6,7.5,0
2.0,100.0,37.5,42.1,7.1,0
1.6,60.5,71.2,68.9,6.1,0
8.6,73.3,79.4,87.9,7.8,1
1.5,98.5,63.8,72.3,7.3,0
3.5,83.4,95.2,65.0,7.1,1
4.0,84.8,54.8,84.5,6.7,0
2.6,79.4,71.3,85.6,7.4,0
3.8,82.0,67.5,90.3,7.1,1
7.7,87.3,66.5,84.2,6.9,1
1.1,68.3,66.3,87.1,6.0,0
8.4,88.5,69.6,82.3,9.0,1
8.7,61.5,80.7,75.7,5.4,1
4.4,81.9,88.7,73.3,7.4,0
2.4,80.1,68.0,68.7,6.4,0
6.4,70.6,80.2,55.0,9.1,1
2.1,77.7,57.5,58.6,5.6,0
4.3,70.5,79.5,68.1,5.8,0
9.6,65.1,56.6,75.4,5.5,1
10.0,73.8,84.4,92.2,7.2,1
7.9,64.8,100.0,71.4,5.0,1
3.8,81.9,66.2,86.0,6.2,0
7.2,64.2,35.1,87.1,4.0,1
7.3,86.5,59.8,68.8,7.1,1
4.5,63.8,86.5,80.3,6.1,0
6.8,71.2,76.3,68.6,4.9,1
1.1,70.5,71.7,90.5,8.2,0
2.9,93.9,83.1,80.9,5.1,0
5.7,82.0,75.3,55.3,7.8,0
2.5,75.5,86.3,74.3,5.9,0
2.5,84.0,81.8,95.1,8.9,0
8.5,52.7,90.8,69.5,7.8,1
9.9,77.5,73.4,78.3,5.5,1
6.0,100.0,81.6,79.6,5.6,1
8.6,79.6,63.4,57.5,7.6,1
9.9,78.8,59.0,79.1,6.5,1
2.3,84.6,93.6,52.5,6.6,0
5.0,88.7,71.2,63.2,8.5,0
4.5,54.0,80.1,87.1,5.8,0
1.7,57.8,69.9,77.0,6.9,0
7.8,80.5,59.2,67.7,8.0,1
4.9,69.4,68.2,78.3,7.9,1
5.2,93.7,89.5,71.2,6.6,1
2.4,74.2,76.3,72.2,6.4,0
2.6,54.8,42.3,81.2,4.5,0
9.2,62.8,64.8,61.8,5.4,1
1.4,45.0,94.7,72.6,7.2,0
3.1,75.2,64.8,67.6,6.6,0
3.6,75.7,41.0,49.8,6.9,0
5.4,72.9,96.4,59.1,8.2,1
6.3,90.9,78.2,94.0,5.3,1
5.4,92.4,66.9,77.4,6.5,1
1.8,76.0,62.4,53.5,7.0,0
3.2,52.4,84.2,50.4,5.9,0
8.6,85.4,59.9,70.4,8.7,1
6.7,84.7,85.2,93.9,8.0,1
6.8,81.7,76.1,69.4,7.2,1
7.0,89.8,71.7,90.3,9.1,1
7.9,64.0,70.2,76.9,4.9,1
1.5,100.0,65.4,78.6,6.8,0
4.3,66.5,83.7,53.3,7.3,0
5.9,87.0,55.0,85.1,5.6,0
4.0,57.8,43.7,67.3,7.2,0
8.6,66.8,77.2,84.1,5.4,1
5.3,96.2,77.5,60.6,7.7,0
7.9,74.9,75.2,74.5,8.2,1
8.7,88.1,74.1,76.9,7.2,1
5.5,80.8,63.2,69.8,4.4,1
9.2,76.7,79.8,77.7,5.5,1
6.3,94.4,67.3,68.3,7.5,1
8.7,75.2,60.7,62.9,6.8,1
4.1,56.6,63.3,94.5,4.0,1
5.5,68.4,98.3,86.7,8.4,1
5.8,84.6,42.0,61.3,7.0,0
1.9,82.7,75.5,80.0,5.7,0
4.6,59.2,42.8,61.6,8.1,0
9.3,69.3,66.4,55.4,5.9,1
6.7,71.0,61.5,86.5,5.9,1
2.6,73.6,36.7,48.1,7.3,0
4.0,61.5,73.8,85.0,9.1,0
2.7,70.5,62.3,68.5,8.9,0
1.2,69.3,36.5,69.0,7.3,0
9.3,87.3,80.6,77.7,7.4,1
5.0,87.7,89.5,80.1,7.8,1
3.8,76.3,90.4,60.4,5.2,0
6.4,73.3,73.4,82.0,7.6,1
1.1,79.7,68.7,73.6,5.8,1
3.5,68.2,87.9,54.4,7.2,0
7.3,64.2,93.2,69.6,6.5,0
6.7,66.7,85.0,91.3,7.5,1
9.8,70.4,53.9,95.5,7.0,1
6.6,64.0,71.0,82.0,4.0,1
5.3,79.9,74.6,55.3,7.0,0
7.9,86.8,40.9,78.9,7.6,1
9.1,59.0,75.0,83.9,7.4,1
7.5,78.3,100.0,82.2,6.7,1
9.7,75.4,77.6,83.0,8.9,1
8.0,82.1,90.1,77.1,7.2,1
8.8,77.8,70.7,71.0,7.4,1
2.0,60.6,66.9,63.5,8.2,0
7.6,62.9,73.7,45.4,7.3,0
5.0,78.4,55.8,76.8,5.6,0
6.0,90.3,53.5,74.6,4.0,0
6.9,51.4,87.0,79.8,6.2,0
9.7,82.1,88.6,53.3,7.8,1
9.9,92.3,53.1,81.0,6.3,1
3.6,76.2,82.5,100.0,7.8,1
7.6,84.6,66.7,73.1,7.0,1
7.7,69.6,73.1,71.1,8.5,1
4.1,76.6,74.9,76.3,6.4,0
2.1,58.5,82.9,100.0,7.4,0
1.4,49.9,69.2,57.7,7.5,0
8.0,89.3,89.2,74.8,8.8,1
5.4,66.2,72.6,60.8,4.6,0
9.9,72.5,77.4,64.3,6.2,1
5.2,61.4,55.5,71.3,7.9,0
9.8,61.1,100.0,90.9,8.8,1
4.7,75.9,75.0,97.2,7.1,1
8.1,69.2,78.7,78.3,6.4,1
1.8,82.5,43.9,66.7,7.8,0
6.0,83.4,55.7,100.0,7.9,1
8.2,81.9,86.6,66.0,6.3,1
9.3,80.9,72.3,64.0,7.2,1
8.4,96.9,39.3,47.2,8.3,1
1.3,65.2,83.6,91.5,9.3,0
